commodity,mean_price_spread_ratio,mean_price_range,modal_price_std,number_of_markets,composite_risk,commodity_cluster,pca1,pca2
Ajwan,0.3191147429349676,3525.0,2456.114818163027,3,0.1923772983856766,1,1.6357106877906278,-1.7227669960305245
Alsandikai,0.25396825396825395,900.0,70.71067811865476,2,0.0470134665464562,0,-0.9547720140261189,-1.1853669917252583
Amaranthus,0.17566463920692885,482.9896907216495,2152.4082162111304,193,0.3132531176252411,3,0.4301271534414879,1.2298797002624877
Amla(Nelli Kai),0.13257276628600156,847.5,1543.5651442133494,80,0.1346957588324384,0,-0.5180245656751756,-0.008185806089012015
Amphophalus,0.057094659495693964,381.7391304347826,5592.009969060422,23,0.2635199331916798,0,0.4522033855265887,0.4674020716804463
Apple,0.2831773621292171,1797.1960784313726,4055.4511560042597,232,0.3133878332433688,3,1.7407408894603211,0.7981726275224504
Arecanut(Betelnut/Supari),0.07068989376635337,1366.0,14062.783188259711,9,0.4480662396272981,1,3.524971565964598,0.7747956294175137
Arhar (Tur/Red Gram)(Whole),0.09669706234583295,787.5454545454545,1562.1992662104553,32,0.1022334965604824,0,-0.8110598402634758,-0.2838599552581157
Arhar Dal(Tur Dal),0.0226510619408148,340.6730769230769,768.1630995506827,52,0.0513318629842238,0,-1.5899001559233026,0.044864210027511356
Ashgourd,0.18102007854217692,359.67391304347825,4769.753596091411,184,0.5894595575775194,3,2.1834551000454847,2.0435578641502703
Bajra(Pearl Millet/Cumbu),0.09729269218217963,227.2941176470588,206.89866326959455,84,0.0619955301881295,0,-1.5090847835399015,0.07751872279411613
Banana,0.18627794817045762,835.2954545454545,1776.9513477383773,345,0.2540211469639096,3,0.3767594334856611,1.8976402131585475
Banana - Green,0.13438994553167868,382.8666666666667,2037.153723982714,255,0.3238059323589262,3,0.34787155304968986,1.8154841662280021
Barley (Jau),0.03540320286461448,79.53125,123.234790169272,32,0.0249690291305808,0,-1.9519264376396375,-0.13360583338866933
Beans,0.12509606955850383,735.168918918919,1829.74638865633,148,0.1789400806562312,0,-0.2839435366334483,0.6238240425346092
Beetroot,0.15807527981171351,579.0625,1625.9762941843783,192,0.2184301969723112,3,-0.11076569634580323,0.9647503978701147
Bengal Gram Dal (Chana Dal),0.02626342977157154,224.7826086956522,525.964200227495,23,0.0357319204496937,0,-1.7777188537540474,-0.16870227222523443
