,commodity,n_markets,mean_modal,min_modal,max_modal,std_modal,price_gap,price_gap_ratio,fragmentation_rank
0,Ashgourd,184,2433.0978260869565,800.0,66040.0,4769.753596091411,65240.0,26.813554021756126,1
1,Ginger(Green),297,10862.356902356902,1500.0,137540.0,8847.988729727202,136040.0,12.523985468612452,2
2,Cowpea(Veg),103,4522.190476190476,50.0,46780.0,4409.974703606234,46730.0,10.333487774571951,3
3,Banana - Green,255,3000.9882352941177,52.0,30280.0,2037.153723982714,30228.0,10.0726819400668,4
4,Amaranthus,193,2940.103092783505,40.0,28040.0,2152.4082162111304,28000.0,9.523475577685053,5
5,Coconut,184,4972.5668449197865,15.0,47000.0,3605.83243033686,46985.0,9.448842311290825,6
6,Colacasia,132,5413.522727272727,400.0,49540.0,4362.554303721003,49140.0,9.077268624446358,7
7,Bitter gourd,383,3728.564766839378,25.0,33040.0,2095.747568868384,33015.0,8.854613521434437,8
8,Carrot,225,5376.946666666667,600.0,46780.0,3232.15700268412,46180.0,8.588517398969923,9
9,Potato,536,3160.452205882353,500.0,27540.0,1736.6732463426572,27040.0,8.555737672498932,10
10,French Beans (Frasbean),45,5620.888888888889,1500.0,44040.0,6215.630891046972,42540.0,7.5681979916185655,11
11,Garlic,192,25218.21761658031,3000.0,176040.0,14662.892207538602,173040.0,6.861706193154221,12
12,Onion,546,4848.02486678508,1205.0,34140.0,1743.8932931477998,32935.0,6.793488256556844,13
13,Cabbage,323,2539.622291021672,700.0,16580.0,1239.9531997774002,15880.0,6.252898336945841,14
14,Mango (Raw-Ripe),96,10132.1875,4500.0,66040.0,6069.116506088319,61540.0,6.073713104894674,15
15,Pineapple,47,6507.234042553191,960.0,37540.0,5179.999874990624,36580.0,5.621436044990845,16
16,Cauliflower,292,4000.2294520547944,500.0,22540.0,1875.5636253688044,22040.0,5.50968394792422,17
17,Capsicum,157,5860.509554140127,1450.0,32540.0,2918.915937725974,31090.0,5.3049994565808065,18
18,Cluster beans,187,3360.3208556149734,1500.0,19280.0,1692.35310626451,17780.0,5.291161399153379,19
19,Tomato,553,4173.881294964029,110.0,22040.0,1394.0455497912308,21930.0,5.254102464883108,20
20,Coriander(Leaves),203,5712.901477832513,6.0,30000.0,4095.241482761002,29994.0,5.250221820975598,21
21,Green Chilli,476,4634.429166666667,300.0,22500.0,2621.1141305101646,22200.0,4.7902339644490555,22
22,Snakeguard,212,2745.4245283018868,800.0,13780.0,1143.9133418286197,12980.0,4.727866261189286,23
23,Bhindi(Ladies Finger),449,2436.750556792873,60.0,11040.0,1081.8357043519259,10980.0,4.506000817109207,24
24,Beetroot,192,3668.9583333333335,900.0,16540.0,1625.9762941843783,15640.0,4.262790301516097,25
25,Pumpkin,373,1851.2332439678285,400.0,8280.0,738.2926444062274,7880.0,4.256621917133713,26
26,Ginger(Dry),23,8083.04347826087,250.0,34000.0,7710.226051858078,33750.0,4.175407455220268,27
27,Methi(Leaves),12,3227.4166666666665,8.0,12500.0,3740.7542374702343,12492.0,3.870587931524181,28
28,Drumstick,203,7640.142857142857,800.0,30040.0,2556.125778271149,29240.0,3.827153568557058,29
29,Cucumbar(Kheera),291,2781.2013651877132,600.0,11040.0,1531.681262578842,10440.0,3.7537735061824145,30
30,Brinjal,532,2987.886827458256,70.0,11040.0,1404.2798469874722,10970.0,3.671491135202062,31
31,Amphophalus,23,7971.304347826087,4600.0,33040.0,5592.009969060422,28440.0,3.5677975346351043,32
32,Apple,232,7692.801960784313,1996.0,24000.0,4055.4511560042597,22004.0,2.8603362093772917,33
33,Spinach,49,2112.2244897959185,8.0,6000.0,1243.9124645198128,5992.0,2.836819679417192,34
34,Pear(Marasebu),18,5226.587619047619,1805.56,16000.0,3376.2327030536635,14194.44,2.715814032901737,35
35,Beans,148,6476.898648648648,750.0,18100.0,1829.74638865633,17350.0,2.678751195777926,36
36,Banana,345,4136.965909090909,50.0,11000.0,1776.9513477383773,10950.0,2.6468673517317534,37
37,Marigold(Calcutta),29,11094.827586206897,750.0,30000.0,5873.067232648697,29250.0,2.6363636363636362,38
