commodity,n_markets,mean_modal,std_modal,min_modal,max_modal,price_gap,price_gap_ratio,cv,norm_cv,norm_price_gap_ratio,integration_score,integration_rank,integration_level
Mahua Seed(Hippe seed),2,2200.0,0.0,2200.0,2200.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Highly Integrated
Jamun(Narale Hannu),2,8000.0,0.0,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,1.0,2,Highly Integrated
Red Gram,1,7600.0,,7600.0,7600.0,0.0,0.0,,0.0,0.0,1.0,3,Highly Integrated
Tamarind Seed,1,3100.0,,3100.0,3100.0,0.0,0.0,,0.0,0.0,1.0,4,Highly Integrated
Rose(Loose)),1,6000.0,,6000.0,6000.0,0.0,0.0,,0.0,0.0,1.0,5,Highly Integrated
Suvarna Gadde,1,4500.0,,4500.0,4500.0,0.0,0.0,,0.0,0.0,1.0,6,Highly Integrated
Surat Beans (Papadi),1,5750.0,,5750.0,5750.0,0.0,0.0,,0.0,0.0,1.0,7,Highly Integrated
Sajje,1,2125.0,,2125.0,2125.0,0.0,0.0,,0.0,0.0,1.0,8,Highly Integrated
Chapparad Avare,1,3600.0,,3600.0,3600.0,0.0,0.0,,0.0,0.0,1.0,9,Highly Integrated
Cardamoms,1,220000.0,,220000.0,220000.0,0.0,0.0,,0.0,0.0,1.0,10,Highly Integrated
Ber(Zizyphus/Borehannu),1,1000.0,,1000.0,1000.0,0.0,0.0,,0.0,0.0,1.0,11,Highly Integrated
Alasande Gram,1,5714.0,,5714.0,5714.0,0.0,0.0,,0.0,0.0,1.0,12,Highly Integrated
Asalia,1,11400.0,,11400.0,11400.0,0.0,0.0,,0.0,0.0,1.0,13,Highly Integrated
Lotus Sticks,1,5500.0,,5500.0,5500.0,0.0,0.0,,0.0,0.0,1.0,14,Highly Integrated
Marigold(loose),1,3000.0,,3000.0,3000.0,0.0,0.0,,0.0,0.0,1.0,15,Highly Integrated
Other green and fresh vegetables,1,1800.0,,1800.0,1800.0,0.0,0.0,,0.0,0.0,1.0,16,Highly Integrated
Pigs,1,5300.0,,5300.0,5300.0,0.0,0.0,,0.0,0.0,1.0,17,Highly Integrated
Rayee,1,5900.0,,5900.0,5900.0,0.0,0.0,,0.0,0.0,1.0,18,Highly Integrated
Dry Fodder,1,420.0,,420.0,420.0,0.0,0.0,,0.0,0.0,1.0,19,Highly Integrated
Cherry,1,15000.0,,15000.0,15000.0,0.0,0.0,,0.0,0.0,1.0,20,Highly Integrated
Groundnut pods (raw),1,3750.0,,3750.0,3750.0,0.0,0.0,,0.0,0.0,1.0,21,Highly Integrated
Cloves,1,80000.0,,80000.0,80000.0,0.0,0.0,,0.0,0.0,1.0,22,Highly Integrated
Ghee,1,53250.0,,53250.0,53250.0,0.0,0.0,,0.0,0.0,1.0,23,Highly Integrated
Sugar,8,4121.875,34.01024005459872,4100.0,4200.0,100.0,0.024260803639120546,0.008251157556839719,0.004208995938636939,0.0009047962690598823,0.9949122256133165,24,Highly Integrated
Coffee,3,21466.666666666668,251.66114784235882,21200.0,21700.0,500.0,0.023291925465838508,0.011723345396383174,0.005980192817880686,0.000868662373027454,0.9931977325538008,25,Highly Integrated
Alsandikai,2,3550.0,70.71067811865476,3500.0,3600.0,100.0,0.028169014084507043,0.019918500878494297,0.01016062155204187,0.0010505513018397754,0.9889131240290385,26,Highly Integrated
Kutki,2,3667.5,95.45941546018392,3600.0,3735.0,135.0,0.03680981595092025,0.02602847047312445,0.013277376629355329,0.0013728063024041237,0.9855613459907643,27,Highly Integrated
Rubber,4,21980.0,614.0032573203503,21500.0,22700.0,1200.0,0.0545950864422202,0.027934634091007746,0.014249729280577904,0.0020361003393254973,0.9839751483832119,28,Highly Integrated
Pepper ungarbled,2,61175.0,1873.8329701443508,59850.0,62500.0,2650.0,0.04331834899877401,0.030630698326838592,0.015625017940471417,0.0016155392516645176,0.9830516419442372,29,Highly Integrated
Foxtail Millet(Navane),2,2675.0,91.92388155425118,2610.0,2740.0,130.0,0.048598130841121495,0.034364067870748104,0.017529446154270368,0.0018124464515852571,0.9810251175330293,30,Highly Integrated
Guar Seed(Cluster Beans Seed),7,4971.428571428572,189.8401583287522,4650.0,5185.0,535.0,0.10761494252873563,0.03818623874428924,0.01947917279234377,0.004013453137969642,0.9770466094868445,31,Highly Integrated
Isabgul (Psyllium),4,12332.5,590.6705229369978,11580.0,13000.0,1420.0,0.1151429150618285,0.047895440740887724,0.024431931419187976,0.004294205645711986,0.9720760112629591,32,Highly Integrated
Taramira,2,5050.0,282.842712474619,4850.0,5250.0,400.0,0.07920792079207921,0.05600845791576614,0.028570460601781103,0.002954025442796992,0.9694389357973847,33,Highly Integrated
Barley (Jau),32,2301.34375,123.234790169272,1900.0,2420.0,520.0,0.22595494480127098,0.053549058096719365,0.02731589676894392,0.008426892780342898,0.9654906701645101,34,Highly Integrated
Soanf,7,6245.285714285715,394.7136997393234,5800.0,6782.0,982.0,0.1572386028318503,0.06320186422159031,0.032239887311622736,0.005864146271108603,0.9632945905708258,35,Highly Integrated
Arhar Dal(Tur Dal),52,15150.961538461539,768.1630995506827,11500.0,17000.0,5500.0,0.36301326394618266,0.050700617092892676,0.025862879233650923,0.01353842402434377,0.9620923091644281,36,Highly Integrated
Cummin Seed(Jeera),27,23000.185185185186,1372.664787278241,18750.0,24500.0,5750.0,0.24999798713375898,0.059680597187643424,0.03044365465667205,0.009323567734844633,0.961753725704057,37,Highly Integrated
Bengal Gram Dal (Chana Dal),23,8387.391304347826,525.964200227495,7975.0,10000.0,2025.0,0.24143382924679901,0.06270891402847123,0.03198842861064706,0.009004171138630229,0.960621622325509,38,Highly Integrated
Mustard Oil,33,13350.30303030303,818.4378597688585,12560.0,16400.0,3840.0,0.2876339204648629,0.06130481517244492,0.03127218409080262,0.010727183730716225,0.9596934805158993,39,Highly Integrated
Coconut Oil,6,20583.333333333332,1567.694698168833,17800.0,22000.0,4200.0,0.20404858299595144,0.07616330517419431,0.03885164474718039,0.007609904409926017,0.9556012839702236,40,Highly Integrated
Castor Seed,47,6241.3125,454.96673510619604,5000.0,6650.0,1650.0,0.2643674707843903,0.0728960030612465,0.03718496207520819,0.009859471466180365,0.9550693055286378,41,Highly Integrated
Mustard,109,5898.137614678899,375.46567303495385,4500.0,6852.0,2352.0,0.398769942930205,0.06365834396615627,0.03247274208111571,0.014871954035136442,0.9547954973259376,42,Highly Integrated
