commodity,std_modal_price,mean_price_range,mean_price_spread_ratio,count_records,norm_std_modal_price,norm_mean_price_range,norm_mean_price_spread_ratio,norm_count_records,risk_index,rank,risk_level
Tube Flower,15105.19,5666.67,0.13,6,0.9999999999999999,0.8768704409211466,0.15476190476190477,0.0071301247771836,0.6947265257064433,1,High Risk
Garlic,14662.89,4124.89,0.2,193,0.9707186735155267,0.6382927033074502,0.2380952380952381,0.3404634581105169,0.6614406738285451,2,High Risk
Black pepper,11630.67,6462.38,0.1,13,0.7699783981532174,1.0,0.11904761904761905,0.0196078431372549,0.6337616673845363,3,High Risk
Turmeric (raw),3075.91,5000.0,0.84,2,0.20363265870869546,0.7737087574546838,1.0,0.0,0.5135656907198833,4,High Risk
Jasmine,9938.94,4565.22,0.11,23,0.6579817930128651,0.7064301387414544,0.13095238095238096,0.0374331550802139,0.50505555052608,5,High Risk
Fish,9242.82,4345.45,0.21,11,0.6118969705114599,0.6724225440162912,0.25,0.016042780748663103,0.4980898294843376,6,High Risk
Arecanut(Betelnut/Supari),14062.78,1366.0,0.07,11,0.9309899445157591,0.21137723253661964,0.08333333333333334,0.016042780748663103,0.4540800923088225,7,High Risk
Kakada,10618.38,3111.11,0.1,9,0.7029623592950501,0.4814186104809683,0.11904761904761905,0.0124777183600713,0.4506678225078415,8,High Risk
Dry Chillies,4259.89,4750.0,0.43,4,0.28201498954994936,0.7350233195819497,0.5119047619047619,0.0035650623885918,0.43605045031437617,9,High Risk
Plum,2456.79,3533.33,0.82,3,0.1626454218715554,0.5467536727954716,0.9761904761904762,0.0017825311942959,0.42450061894478847,10,High Risk
Ginger(Green),8847.99,1906.73,0.18,297,0.5857582724878004,0.2950507398203139,0.21428571428571427,0.5258467023172906,0.41826034403008633,11,High Risk
Seetapal,1730.25,3050.0,0.77,6,0.11454672202070942,0.47196234204735715,0.9166666666666666,0.0071301247771836,0.37145373723354264,12,High Risk
Pomegranate,5815.6,2670.11,0.27,137,0.38500674271558316,0.4131774980734652,0.32142857142857145,0.24064171122994651,0.36630583191698174,13,High Risk
Persimon(Japani Fal),758.29,3300.0,0.72,5,0.050200626407214996,0.5106477799200914,0.8571428571428571,0.005347593582887699,0.34523791532577364,14,High Risk
Mashrooms,8879.93,1203.7,0.15,54,0.5878727775023022,0.1862626462696406,0.17857142857142858,0.0926916221033868,0.33601135280643746,15,High Risk
Peas Wet,4323.79,2895.83,0.34,24,0.2862453236271771,0.4481058062199994,0.40476190476190477,0.0392156862745098,0.3338038208967026,16,High Risk
Betal Leaves,6154.0,2555.0,0.19,20,0.4074096386738597,0.39536517505934343,0.2261904761904762,0.0320855614973262,0.3300200593751748,17,High Risk
Ginger(Dry),7710.23,1053.04,0.21,23,0.5104358170933301,0.16294925399001606,0.25,0.0374331550802139,0.30680241854235824,18,High Risk
Green Peas,8372.86,1309.04,0.08,25,0.5543035208428361,0.20256314237169587,0.09523809523809523,0.040998217468805706,0.30563779184314277,19,High Risk
Ajwan,2456.11,3525.0,0.32,3,0.16260040423192293,0.5454646740055521,0.38095238095238093,0.0017825311942959,0.30504829320434057,20,High Risk
Apple,4055.45,1797.2,0.28,255,0.2684805685992695,0.27810187577951156,0.33333333333333337,0.45098039215686275,0.30258749605591423,21,High Risk
Fig(Anjura/Anjeer),5678.91,2250.0,0.16,4,0.3759575351253443,0.34816894085460776,0.19047619047619047,0.0035650623885918,0.29328544064061735,22,High Risk
Kabuli Chana(Chickpeas-White),3565.11,2854.6,0.25,10,0.23601887827958468,0.4417258038060281,0.2976190476190476,0.014260249554367199,0.2878751269328885,23,High Risk
Orange,4581.97,1912.7,0.28,63,0.30333746215704666,0.29597454807671475,0.33333333333333337,0.1087344028520499,0.28766745623770473,24,High Risk
Mango (Raw-Ripe),6069.12,1407.08,0.15,96,0.4017903780091478,0.2177340236878673,0.17857142857142858,0.1675579322638146,0.27850643725068647,25,High Risk
Lemon,4787.79,1309.4,0.14,260,0.31696324243521595,0.20261884940223263,0.16666666666666669,0.45989304812834225,0.2668935899409237,26,High Risk
Pineapple,5180.0,1109.36,0.26,47,0.34292849014146787,0.17166430943398558,0.30952380952380953,0.0802139037433155,0.2585968411658763,27,High Risk
Methi(Leaves),3740.75,1101.08,0.41,12,0.24764666978700695,0.17038304773164065,0.4880952380952381,0.017825311942959,0.2495751610476385,28,High Risk
French Beans (Frasbean),6215.63,690.67,0.17,45,0.41148969327760854,0.1068754855022453,0.20238095238095238,0.0766488413547237,0.24479959757337982,29,High Risk
Rose(Local),5189.84,1537.04,0.13,27,0.34357992186791425,0.23784426171162945,0.15476190476190477,0.044563279857397504,0.24419395619877524,30,High Risk
Pegeon Pea (Arhar Fali),2474.87,2000.0,0.36,2,0.1638423614664893,0.30948350298187355,0.42857142857142855,0.0,0.2440962811954435,31,High Risk
Lime,5766.73,931.75,0.15,63,0.3817714308790554,0.14418062695168032,0.17857142857142858,0.1087344028520499,0.24255048643661697,32,High Risk
Mango,4178.94,1491.67,0.25,12,0.27665590436134857,0.23082362844648566,0.2976190476190476,0.017825311942959,0.24121579099659055,33,High Risk
Cummin Seed(Jeera),1372.66,3410.19,0.15,27,0.09087340179104003,0.5276987735168777,0.17857142857142858,0.044563279857397504,0.23482960647150478,34,High Risk
Marigold(Calcutta),5873.07,1034.48,0.1,29,0.3888113952886391,0.16007724708234428,0.11904761904761905,0.0481283422459893,0.23217009027428168,35,High Risk
Coriander(Leaves),4095.24,920.34,0.16,203,0.27111476254188127,0.14241502356716876,0.19047619047619047,0.3582887700534759,0.22509452718748882,36,High Risk
Pear(Marasebu),3376.23,1311.11,0.3,21,0.2235145668475537,0.2028834577972821,0.35714285714285715,0.0338680926916221,0.22508624477593978,37,Medium Risk
Green Chilli,2621.11,621.39,0.15,480,0.1735238020839195,0.0961549769589532,0.17857142857142858,0.8520499108734403,0.2191752907228835,38,Medium Risk
Ashgourd,4769.75,359.67,0.18,184,0.31576895093673096,0.05565596575874523,0.21428571428571427,0.3244206773618538,0.21830358069564418,39,Medium Risk
Onion,1743.89,695.5,0.16,563,0.11544972290980782,0.10762288816194653,0.19047619047619047,0.9999999999999999,0.21656199370774518,40,Medium Risk
Grapes,3174.06,1671.05,0.2,38,0.2101304253703528,0.2585812038289299,0.2380952380952381,0.0641711229946524,0.21566269121533294,41,Medium Risk
"Sesamum(Sesame,Gingelly,Til)",1721.91,2448.75,0.2,44,0.11399459391109942,0.3789238639634314,0.2380952380952381,0.0748663101604278,0.21438067538855957,42,Medium Risk
Chili Red,3860.92,1833.33,0.1,6,0.2556022135438217,0.2836926952608791,0.11904761904761905,0.0071301247771836,0.21187123028303456,43,Medium Risk
Field Pea,3500.0,1270.0,0.24,10,0.2317084392847756,0.1965220243934897,0.2857142857142857,0.014260249554367199,0.21020886513025103,44,Medium Risk
Banana,1776.95,835.3,0.19,440,0.11763837462488058,0.1292557850203795,0.2261904761904762,0.7807486631016043,0.20914504690432173,45,Medium Risk
Tomato,1394.05,616.23,0.17,556,0.09228947136712612,0.09535650952125997,0.20238095238095238,0.9875222816399286,0.2047511600434118,46,Medium Risk
Carrot,3232.16,757.11,0.16,225,0.21397678546248008,0.11715652747130313,0.19047619047619047,0.39750445632798576,0.19858335615441966,47,Medium Risk
Cowpea(Veg),4409.97,591.14,0.15,105,0.2919506474264805,0.09147403897635235,0.17857142857142858,0.1836007130124777,0.19829682767903142,48,Medium Risk
Karbuja(Musk Melon),2179.71,1190.83,0.35,12,0.14430205776954808,0.18427111992795223,0.41666666666666663,0.017825311942959,0.19811802361383413,49,Medium Risk
Brinjal,1404.28,480.14,0.18,539,0.0929667220339499,0.07429770456085838,0.21428571428571427,0.9572192513368983,0.19805506817267016,50,Medium Risk
Copra,2285.53,1850.0,0.19,6,0.15130759692529522,0.286272240258233,0.2261904761904762,0.0071301247771836,0.1923558185634016,51,Medium Risk
Potato,1736.67,399.01,0.13,544,0.11497174150076893,0.061743506262398676,0.15476190476190477,0.9661319073083778,0.19207732016224593,52,Medium Risk
Colacasia,4362.55,527.96,0.12,132,0.288811329086228,0.08169745511715498,0.14285714285714285,0.23172905525846701,0.19177810226691297,53,Medium Risk
Coconut,3605.83,599.89,0.14,187,0.23871464046463498,0.09282802930189805,0.16666666666666669,0.32976827094474154,0.1896444254042309,54,Medium Risk
Peas cod,4405.63,937.5,0.1,8,0.2916633289617674,0.1450703920227532,0.11904761904761905,0.0106951871657754,0.18506549171763426,55,Medium Risk
Amphophalus,5592.01,381.74,0.06,23,0.37020454558995947,0.059071116214150204,0.07142857142857142,0.0374331550802139,0.18383218289396455,56,Medium Risk
