commodity,risk_index,spatial_volatility,integration_score,number_of_markets,fragmentation,cv,norm_risk_index,norm_fragmentation,norm_spatial_volatility,norm_number_of_markets,norm_inverted_integration,composite_risk,composite_rank,risk_category
Garlic,0.6614406738285451,14662.89,0.6441212039008875,192,6.861706193154221,0.5814404661929057,0.9518563589283237,0.2559043902791377,0.9707186735155267,0.3448275862068965,0.5338181941486688,0.6582322276943767,1,Highly Unstable
Ashgourd,0.2183035806956441,4769.75,0.3333333333333333,184,26.81355402175613,1.9603624420487828,0.31091638131872645,1.0,0.31576895093673096,0.3303085299455535,1.0,0.5894595575775194,2,Highly Unstable
Ginger(Green),0.4182603440300863,8847.99,0.5311833319290429,297,12.523985468612452,0.8145551475856382,0.6001277459291551,0.4670766679587,0.5857582724878004,0.5353901996370235,0.7032250021064357,0.5729819155456494,3,Highly Unstable
Tube Flower,0.6947265257064433,15105.19,0.8263571177770277,6,1.0260223048327135,0.3369186635054929,1.0,0.03826506191608221,0.9999999999999999,0.007259528130671506,0.26046432333445846,0.5493618667922565,4,Highly Unstable
Black pepper,0.6337616673845363,11630.67,0.8850604024126901,12,0.8824638592080453,0.1900674830350763,0.9118222881060052,0.032911111242173524,0.7699783981532174,0.018148820326678763,0.17240939638096486,0.463446435362801,5,Highly Unstable
Arecanut(Betelnut/Supari),0.4540800923088225,14062.78,0.7764182579720493,9,1.5778210738126417,0.4491610459695203,0.6519363374813617,0.05884416040232565,0.9309899445157591,0.012704174228675135,0.335372613041926,0.4480662396272981,6,Highly Unstable
Fish,0.4980898294843376,9242.82,0.778912391249945,8,1.4081177520071366,0.4534833599815385,0.7155906792121705,0.05251514778177523,0.6118969705114599,0.010889292196007259,0.3316314131250825,0.4010190259997501,7,Highly Unstable
Jasmine,0.50505555052608,9938.94,0.8623835472231566,23,0.93475935828877,0.2444873935782596,0.72566568570049,0.0348614494568799,0.6579817930128651,0.038112522686025406,0.2064246791652652,0.3927863808203323,8,Highly Unstable
Kakada,0.4506678225078415,10618.38,0.8258875468658188,9,0.967741935483871,0.3425283964773435,0.6470009345017181,0.03609152053094712,0.7029623592950501,0.012704174228675135,0.2611686797012719,0.3841613517203205,9,Highly Unstable
Mashrooms,0.3360113528064374,8879.93,0.6579616271117413,54,2.6113583726677825,0.8281668398145103,0.48116531328647116,0.09738949079815992,0.5878727775023022,0.09437386569872958,0.5130575593323881,0.3726675426556729,10,Highly Unstable
French Beans (Frasbean),0.2447995975733798,6215.63,0.5416129991238219,45,7.568197991618565,1.1058092436827458,0.34923941210880804,0.28225269897,0.41148969327760854,0.07803992740471868,0.6875805013142672,0.36857400496827614,11,Highly Unstable
Potato,0.1920773201622459,1736.67,0.6252389018123965,536,8.555737672498932,0.5495015058637164,0.2729835178786118,0.31908256792653933,0.11497174150076893,0.969147005444646,0.5621416472814053,0.3658959932820475,12,Highly Unstable
Ginger(Dry),0.3068024185423582,7710.23,0.608901486388785,23,4.175407455220268,0.953876602618126,0.4389184015218438,0.15572003069165702,0.5104358170933301,0.038112522686025406,0.5866477704168225,0.3645011093792593,13,Highly Unstable
Cowpea(Veg),0.1982968276790314,4409.97,0.5311140855705758,103,10.333487774571951,0.9751855271963744,0.28197922388094293,0.3853829957113298,0.2919506474264805,0.18330308529945555,0.7033288716441363,0.3631592848539774,14,Highly Unstable
Mango (Raw-Ripe),0.2785064372506864,6069.12,0.6527120932017971,96,6.073713104894674,0.5989937026025544,0.3979919570951153,0.22651652593186833,0.4017903780091478,0.1705989110707804,0.5209318601973043,0.3515844643500049,15,Highly Unstable
Onion,0.2165619937077451,1743.89,0.6959654716338722,546,6.793488256556844,0.3597121180412272,0.308397403010823,0.2533602315845451,0.11544972290980782,0.9872958257713248,0.4560517925491917,0.346086574840856,16,Highly Unstable
Colacasia,0.1917781022669129,4362.55,0.5715555874755491,132,9.077268624446358,0.8058623789908442,0.2725507382397437,0.3385328411549321,0.288811329086228,0.23593466424682397,0.6426666187866763,0.34415415682058553,17,Highly Unstable
Coconut,0.1896444254042309,3605.83,0.5806209272370845,184,9.448842311290823,0.7251450896071416,0.26946465309411727,0.3523905224806891,0.23871464046463498,0.3303085299455535,0.6290686091443733,0.34407109900754573,18,Highly Unstable
Bitter gourd,0.1803849676639271,2095.75,0.6184479531966763,383,8.854613521434437,0.5620788962839722,0.256072055794736,0.3302290145592014,0.1387437033231624,0.6914700544464609,0.5723280702049856,0.34212382701824756,19,Highly Unstable
Pomegranate,0.3663058319169817,5815.6,0.7320400811813885,132,2.507828372570187,0.5342321621000709,0.5249823240122768,0.0935283838365989,0.38500674271558316,0.23593466424682397,0.4019398782279172,0.3417625898648194,20,Highly Unstable
Carrot,0.1985833561544196,3232.16,0.614651156658742,225,8.588517398969923,0.6011138296612178,0.28239364992977917,0.3203050737698302,0.21397678546248008,0.4047186932849364,0.5780232650118869,0.334765079594164,21,Highly Unstable
