state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,price_range,price_spread_ratio,min_to_modal_ratio,max_to_modal_ratio,market_commodity,state_commodity
Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Bhindi(Ladies Finger),Bhindi,FAQ,2024-09-30,50.0,80.0,60.0,30.0,0.5,0.8333333333333334,1.3333333333333333,Mayabandar | Bhindi(Ladies Finger),Andaman and Nicobar | Bhindi(Ladies Finger)
Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Coconut,Coconut,FAQ,2024-09-30,10.0,20.0,15.0,10.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,Mayabandar | Coconut,Andaman and Nicobar | Coconut
Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Leafy Vegetable,Leafy Vegetables,FAQ,2024-09-30,30.0,50.0,40.0,20.0,0.5,0.75,1.25,Mayabandar | Leafy Vegetable,Andaman and Nicobar | Leafy Vegetable
Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Papaya,Papaya,Medium,2024-09-30,30.0,50.0,40.0,20.0,0.5,0.75,1.25,Mayabandar | Papaya,Andaman and Nicobar | Papaya
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,FAQ,2024-09-30,5600.0,6000.0,5800.0,400.0,0.06896551724137931,0.9655172413793104,1.0344827586206897,Vayalapadu | Tomato,Andhra Pradesh | Tomato
Andhra Pradesh,Kurnool,Adoni,Castor Seed,Castor seed,FAQ,2024-09-30,4800.0,6150.0,6116.0,1350.0,0.22073250490516677,0.7848266841072596,1.0055591890124265,Adoni | Castor Seed,Andhra Pradesh | Castor Seed
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,2024-09-30,4950.0,5250.0,5100.0,300.0,0.058823529411764705,0.9705882352941176,1.0294117647058822,Anakapally | Gur(Jaggery),Andhra Pradesh | Gur(Jaggery)
Assam,Barpeta,Barpeta Road,Banana,Besrai,Local,2024-09-30,1500.0,4500.0,2800.0,3000.0,1.0714285714285714,0.5357142857142857,1.6071428571428572,Barpeta Road | Banana,Assam | Banana
Assam,Barpeta,Barpeta Road,Cabbage,Cabbage,Local,2024-09-30,1500.0,1700.0,1700.0,200.0,0.11764705882352941,0.8823529411764706,1.0,Barpeta Road | Cabbage,Assam | Cabbage
Assam,Barpeta,Barpeta Road,Lemon,Lemon,Local,2024-09-30,1200.6,1334.0,1334.0,133.4000000000001,0.10000000000000007,0.8999999999999999,1.0,Barpeta Road | Lemon,Assam | Lemon
Assam,Cachar,Sonabarighat,Bhindi(Ladies Finger),Bhindi,Local,2024-09-30,4300.0,4400.0,4300.0,100.0,0.023255813953488372,1.0,1.0232558139534884,Sonabarighat | Bhindi(Ladies Finger),Assam | Bhindi(Ladies Finger)
