market,state,avg_price_spread_ratio,avg_composite_risk,n_commodities,market_instability_index,market_rank,avg_modal_price,market_cluster,pca1,pca2
Gaddiannaram,Telangana,1.5597196488837357,0.2134325303289263,16,1.021204801461812,1,3862.3529411764707,1,9.536609363961862,-1.3650053041606214
Chickkaballapura,Karnataka,1.4586206896551723,0.3151640113446516,1,1.0012380183309642,2,2900.0,1,8.944588767978445,-2.2501089320296885
Mangal Wedha,Maharashtra,1.35,0.346086574840856,1,0.9484346299363424,3,3000.0,1,8.27461488209592,-2.1256712809152862
Pimpalgaon,Maharashtra,1.20350822461713,0.3439245823528377,2,0.8596747677114132,4,7425.0,1,7.446312326997279,-0.9500723106987412
Thiruvaniyoor  VFPCK,Kerala,1.1767715851318996,0.2989233841127782,5,0.8256323047242511,5,1900.0,1,6.973287756442718,-1.9889580173435881
Kalapipal(F&V),Madhya Pradesh,1.010436332870977,0.5021594012676164,2,0.8071255602296327,6,10827.5,1,6.600619067236401,-0.031590532302394995
Thazhakkara  VFPCK,Kerala,1.123395111469245,0.2934979761484768,3,0.7914362573409378,7,4666.666666666667,1,6.6922252641463835,-1.4232048448564392
Vijapur(veg),Gujarat,1.04512987012987,0.2998613710717291,4,0.7470224705066136,8,1687.5,1,6.064368848726452,-1.9564023392642114
Parala,Himachal Pradesh,1.0384615384615383,0.2751396844636373,2,0.733132796862378,9,4750.0,1,6.071451210587354,-1.3681247660515827
Kullu(Patli Kuhal),Himachal Pradesh,1.0,0.3133878332433688,1,0.7253551332973475,10,4000.0,1,5.857234028350104,-1.552851765554361
Yeola,Maharashtra,0.9771428571428572,0.346086574840856,1,0.7247203442220567,11,3500.0,1,5.752646626494067,-1.6463737754457015
Davangere,Karnataka,0.9635416666666669,0.3450788369242008,2,0.7161565347696803,12,7600.0,1,5.8200759750575175,-0.6743051392746601
Kolhapur,Maharashtra,0.9672500173358298,0.3035949366040665,10,0.7017879850431246,13,3265.0,1,5.635869431855492,-1.2285618159483302
Mehndli,Himachal Pradesh,0.9833333333333334,0.2751396844636373,2,0.700055873785455,14,4250.0,1,5.676644556316458,-1.4243787016412612
Rahama,Odisha,0.9713541666666669,0.2591012480398296,4,0.686452999215932,15,6800.0,1,5.669268272614768,-0.7444113294460489
Daloda,Madhya Pradesh,0.8758013285024155,0.369343424989531,2,0.6732181670972618,16,12350.0,1,5.455730859266789,0.4605206515867375
Mehar,Madhya Pradesh,1.03,0.1210933510223199,1,0.666437340408928,17,2500.0,1,5.591037123499145,-1.8831644648116437
Shajapur,Madhya Pradesh,0.8010130778491028,0.4501351257920296,2,0.6606618970262735,18,7265.666666666667,1,4.9254752834346265,-0.604956941965034
Karuvannur VFPCK,Kerala,0.875,0.3238059323589262,1,0.6545223729435705,19,4000.0,1,5.027737339635486,-1.4310059024262798
Srinivasapur,Karnataka,0.8747656542932134,0.3151640113446516,1,0.6509249971137887,20,2667.0,1,4.956640982984995,-1.7246028888429183
Azadpur,NCT of Delhi,0.8993871493381572,0.2776494183611827,2,0.6506920569473674,21,6193.4,1,5.184176698375732,-0.9113679611470049
Sarangpur(F&V),Madhya Pradesh,0.8781801531801532,0.2832748462020323,7,0.6402180303889048,22,1057.142857142857,1,4.883837190303104,-1.777239786086347
Gadarwada,Madhya Pradesh,0.9716981132075472,0.1210933510223199,1,0.6314562083334563,23,2650.0,1,5.199432569623232,-1.7923120878046506
Chandvad,Maharashtra,0.8016172506738545,0.346086574840856,1,0.619404980340655,24,3710.0,1,4.564439529407507,-1.4263617431970772
Dumal,Odisha,0.8333333333333334,0.2940583409035063,1,0.6176233363614025,25,12000.0,1,4.985443626007966,0.3869942179889419
Bandrol,Himachal Pradesh,0.8386724386724387,0.2814721873637433,7,0.6157923381489605,26,5714.285714285715,1,4.788623216798929,-0.7063760947884824
"Sangli(Phale, Bhajipura Market)",Maharashtra,0.7907910271546634,0.3229855712491704,11,0.6036688447924662,27,7090.909090909091,1,4.626778760410008,-0.15957428226594977
Ambala City(Subji Mandi),Haryana,0.7916666666666666,0.3133878332433688,1,0.6003551332973475,28,12000.0,1,4.7430298214330975,0.4250055779304829
Mumbai,Maharashtra,0.7,0.4274459202085325,2,0.5909783680834131,29,5250.0,1,4.111284451077018,-0.9478367248452763
Manmad,Maharashtra,0.7531506849315068,0.346086574840856,1,0.5903250408952465,30,3650.0,1,4.231841576399206,-1.391744273432012
Jodhpur (F&V),Rajasthan,0.7633400467625067,0.3220536635160578,11,0.5868254934639271,31,4095.4545454545455,1,4.3232619774216365,-0.7957540382573248
Talalagir,Gujarat,0.7833333333333333,0.263474728319066,5,0.5753898913276264,32,2700.0,1,4.246318206165729,-1.4170484754289236
Ludhiana,Punjab,0.7476781680130963,0.291145161416767,33,0.5650649653745645,33,2777.2727272727275,1,4.2242952584691045,0.040429432908453834
Mangaon,Maharashtra,0.8285714285714286,0.10561192994428,1,0.5393876291205693,34,3500.0,1,4.223199191030279,-1.4600282295479994
Pramadom VFPCK,Kerala,0.6808353808353809,0.2990461229857277,2,0.5281196776955196,35,4600.0,1,3.6798411916531557,-1.0517774584987838
Nasik,Maharashtra,0.7257275132275133,0.2211212641245908,9,0.5238850135863443,36,5466.666666666667,1,3.8910261334520695,-0.5389799714254839
Ahmedabad,Gujarat,0.6487179487179487,0.3169298964543406,2,0.5160027278125054,37,5075.0,1,3.5175448244088288,-0.9177593455076098
Mezhuveli  VFPCK,Kerala,0.6551238738738738,0.2980724869910786,2,0.5123033191207557,38,4250.0,1,3.489150477326264,-1.1037248642027468
Pune,Maharashtra,0.701799570616729,0.2217893504049271,61,0.5097954825320083,39,4149.4098360655735,1,3.973500901401309,1.8107469780903842
Chintamani,Karnataka,0.6906379928315413,0.2268109060546094,15,0.5051071581207685,40,1830.6666666666667,1,3.5591881063062916,-1.0085012556450872
Dahod(Veg. Market),Gujarat,0.6469067969067969,0.2913676236600862,24,0.5046911276081125,41,4658.333333333333,1,3.5589040801731717,0.10353306245356912
Mandi(Takoli),Himachal Pradesh,0.6382455566781392,0.3011040919147312,11,0.503388970772776,42,4427.272727272727,1,3.438370746767166,-0.5951689196823428
Nagina,Uttar Pradesh,0.625,0.3133878332433688,1,0.5003551332973475,43,8000.0,1,3.454368103437335,-0.29621696621868704
Ankleshwar,Gujarat,0.6302721088435375,0.3039659129706906,14,0.4997496304943987,44,2800.0,1,3.3450041127232812,-0.797148738270171
Gudimalkapur,Telangana,0.6513034188034188,0.2537598753108443,26,0.492286001406389,45,2111.5384615384614,1,3.4220598508648976,-0.3580394407534859
Naraingarh,Haryana,0.621894632166175,0.2778095275695852,24,0.4842605903275391,46,3325.0,1,3.308363380124773,-0.16483872393092627
Banur,Punjab,0.5894975777384066,0.3192323245287575,18,0.4813914764545469,47,3389.3333333333335,1,3.145098703708752,-0.42743940350998
