market,state,avg_price_spread_ratio,avg_composite_risk,n_commodities,market_instability_index,market_rank
Gaddiannaram,Telangana,1.5597196488837357,0.21343253032892637,16,1.021204801461812,1
Chickkaballapura,Karnataka,1.4586206896551723,0.31516401134465166,1,1.0012380183309642,2
Mangal Wedha,Maharashtra,1.35,0.346086574840856,1,0.9484346299363424,3
Pimpalgaon,Maharashtra,1.20350822461713,0.3439245823528377,2,0.8596747677114132,4
Thiruvaniyoor  VFPCK,Kerala,1.1767715851318996,0.29892338411277825,5,0.8256323047242511,5
Kalapipal(F&V),Madhya Pradesh,1.010436332870977,0.5021594012676164,2,0.8071255602296327,6
Thazhakkara  VFPCK,Kerala,1.123395111469245,0.29349797614847684,3,0.7914362573409378,7
Vijapur(veg),Gujarat,1.0451298701298701,0.2998613710717291,4,0.7470224705066136,8
Parala,Himachal Pradesh,1.0384615384615383,0.27513968446363735,2,0.733132796862378,9
Kullu(Patli Kuhal),Himachal Pradesh,1.0,0.3133878332433688,1,0.7253551332973475,10
Yeola,Maharashtra,0.9771428571428572,0.346086574840856,1,0.7247203442220567,11
Davangere,Karnataka,0.9635416666666667,0.3450788369242008,2,0.7161565347696803,12
Kolhapur,Maharashtra,0.9672500173358298,0.30359493660406656,10,0.7017879850431246,13
Mehndli,Himachal Pradesh,0.9833333333333334,0.27513968446363735,2,0.700055873785455,14
Rahama,Odisha,0.9713541666666667,0.2591012480398296,4,0.686452999215932,15
Daloda,Madhya Pradesh,0.8758013285024155,0.36934342498953104,2,0.6732181670972618,16
Mehar,Madhya Pradesh,1.03,0.12109335102231997,1,0.666437340408928,17
Shajapur,Madhya Pradesh,0.8010130778491028,0.4501351257920296,2,0.6606618970262735,18
Karuvannur VFPCK,Kerala,0.875,0.32380593235892624,1,0.6545223729435705,19
Srinivasapur,Karnataka,0.8747656542932134,0.31516401134465166,1,0.6509249971137887,20
Azadpur,NCT of Delhi,0.8993871493381572,0.27764941836118273,2,0.6506920569473674,21
Sarangpur(F&V),Madhya Pradesh,0.8781801531801532,0.28327484620203236,7,0.6402180303889048,22
Gadarwada,Madhya Pradesh,0.9716981132075472,0.12109335102231997,1,0.6314562083334563,23
Chandvad,Maharashtra,0.8016172506738545,0.346086574840856,1,0.619404980340655,24
Dumal,Odisha,0.8333333333333334,0.29405834090350635,1,0.6176233363614025,25
Bandrol,Himachal Pradesh,0.8386724386724387,0.28147218736374335,7,0.6157923381489605,26
"Sangli(Phale, Bhajipura Market)",Maharashtra,0.7907910271546634,0.3229855712491704,11,0.6036688447924662,27
Ambala City(Subji Mandi),Haryana,0.7916666666666666,0.3133878332433688,1,0.6003551332973475,28
Mumbai,Maharashtra,0.7,0.42744592020853256,2,0.5909783680834131,29
Manmad,Maharashtra,0.7531506849315068,0.346086574840856,1,0.5903250408952465,30
Jodhpur (F&V),Rajasthan,0.7633400467625067,0.3220536635160578,11,0.5868254934639271,31
Talalagir,Gujarat,0.7833333333333333,0.26347472831906604,5,0.5753898913276264,32
Ludhiana,Punjab,0.7476781680130963,0.29114516141676705,33,0.5650649653745645,33
Mangaon,Maharashtra,0.8285714285714286,0.10561192994428008,1,0.5393876291205693,34
Pramadom VFPCK,Kerala,0.6808353808353809,0.2990461229857277,2,0.5281196776955196,35
Nasik,Maharashtra,0.7257275132275133,0.22112126412459085,9,0.5238850135863443,36
Ahmedabad,Gujarat,0.6487179487179487,0.31692989645434066,2,0.5160027278125054,37
Mezhuveli  VFPCK,Kerala,0.6551238738738738,0.2980724869910786,2,0.5123033191207557,38
