market,state,count,num_commodities,mean_modal_price,std_modal_price,mean_price_range,mean_price_spread_ratio
A lot,Madhya Pradesh,1,1,4430.0,,279.0,0.06
AJattihalli(Uzhavar Sandhai ),Tamil Nadu,40,40,5407.5,6092.34,505.0,0.14
Aarah,Bihar,1,1,2600.0,,200.0,0.08
Aarni,Maharashtra,1,1,11000.0,,1800.0,0.16
Achalda,Uttar Pradesh,18,18,4985.56,4370.02,215.56,0.07
Achampet,Telangana,1,1,1800.0,,626.0,0.35
Adilabad,Telangana,1,1,7100.0,,1800.0,0.25
Adilabad(Rythu Bazar),Telangana,5,5,7000.0,1414.21,160.0,0.02
Adimali,Kerala,23,21,6756.52,2679.86,217.39,0.03
Adoni,Andhra Pradesh,4,4,6447.25,747.52,2156.25,0.32
Agar,Madhya Pradesh,6,6,7391.67,4858.21,3089.0,0.26
Agra,Uttar Pradesh,1,1,6700.0,,600.0,0.09
Ahirora,Uttar Pradesh,14,14,1514.29,739.91,200.0,0.16
Ahmedabad,Gujarat,2,2,5075.0,1661.7,3000.0,0.65
Ahmedabad(Chimanbhai Patal Market Vasana),Gujarat,4,2,3350.0,1109.05,1625.0,0.46
Ahmedgarh,Punjab,5,5,2900.0,1773.41,280.0,0.1
Ajuha,Uttar Pradesh,11,11,2600.0,1033.39,114.09,0.05
Akbarpur,Uttar Pradesh,25,25,5416.4,4053.28,150.0,0.04
Alampur,Telangana,1,1,2200.0,,300.0,0.14
Alangudi(Uzhavar Sandhai ),Tamil Nadu,23,23,4500.0,3060.01,630.43,0.17
Alengad  VFPCK,Kerala,3,1,3333.33,1001.67,700.0,0.23
Aler,Telangana,2,2,4591.5,3406.13,0.0,0.0
Alibagh,Maharashtra,1,1,3250.0,,500.0,0.15
Aliganj,Uttar Pradesh,3,3,2217.0,257.66,58.33,0.03
Aligarh,Uttar Pradesh,17,17,7984.71,12071.16,113.53,0.03
Allahabad,Uttar Pradesh,29,29,4108.97,3094.72,135.52,0.05
Aluva,Kerala,26,26,4646.15,2854.92,1523.08,0.38
Amalapuram  VFPCK,Kerala,4,1,3375.0,1001.25,200.0,0.06
Amarawati,Maharashtra,11,11,5593.18,3054.94,395.45,0.07
Amarpatan,Madhya Pradesh,1,1,2600.0,,10.0,0.0
Ambala City,Haryana,1,1,420.0,,20.0,0.05
Ambala City(Subji Mandi),Haryana,1,1,12000.0,,9500.0,0.79
Ambasamudram(Uzhavar Sandhai ),Tamil Nadu,11,11,3454.55,1782.9,572.73,0.17
Ambattur(Uzhavar Sandhai ),Tamil Nadu,6,6,8500.0,10573.55,0.0,0.0
Ambikapur,Chattisgarh,2,2,2187.5,130.81,0.0,0.0
Amirgadh,Gujarat,2,2,2577.5,243.95,25.0,0.01
Ammapet(Uzhavar Sandhai ),Tamil Nadu,57,57,5412.28,3402.47,668.42,0.13
Ammoor,Tamil Nadu,1,1,2814.0,,1330.0,0.47
Amrawati(Frui & Veg. Market),Maharashtra,23,23,3663.04,4394.94,1673.91,0.31
Amreli,Gujarat,16,15,6693.44,4788.77,1736.25,0.28
Amroha,Uttar Pradesh,19,19,4555.53,4277.92,144.74,0.05
Anaiyur(Uzhavar Sandhai ),Tamil Nadu,56,56,7244.64,7050.47,1182.14,0.21
Anakapally,Andhra Pradesh,3,1,4090.0,916.9,406.67,0.1
Anand Bazar,Assam,10,10,4176.72,3433.98,470.0,0.12
"Anand(Veg,Yard,Anand)",Gujarat,10,10,1935.0,933.35,500.0,0.31
Anandapur,Odisha,1,1,1000.0,,400.0,0.4
Anandnagar,Uttar Pradesh,10,10,3465.0,1925.71,450.0,0.13
Anchal,Kerala,27,23,4722.22,1520.96,200.0,0.05
Andipatti(Uzhavar Sandhai ),Tamil Nadu,38,38,5036.84,4361.78,426.32,0.08
Angamaly,Kerala,26,26,5034.62,2192.34,1542.31,0.33
Anjad,Madhya Pradesh,5,4,3337.0,1730.89,450.0,0.09
Anjar,Gujarat,4,4,6242.5,1174.49,67.5,0.01
Ankleshwar,Gujarat,14,14,2800.0,1182.57,1771.43,0.63
Anna nagar(Uzhavar Sandhai ),Tamil Nadu,64,64,7768.75,7526.8,650.0,0.07
Anta,Rajasthan,4,4,4764.5,1642.64,199.0,0.04
Antagarh,Chattisgarh,1,1,1900.0,,0.0,0.0
Anuppur,Madhya Pradesh,1,1,2200.0,,0.0,0.0
Anwala,Uttar Pradesh,9,9,2377.78,1087.17,377.78,0.17
Anyara(EEC),Kerala,7,5,3700.0,1634.01,100.0,0.03
Arani(Uzhavar Sandhai ),Tamil Nadu,38,38,4771.05,4657.68,834.21,0.18
Aranthangi(Uzhavar Sandhai ),Tamil Nadu,26,26,4634.62,2666.67,596.15,0.14
Arasikere,Karnataka,6,5,9595.5,6480.66,3508.33,0.39
Arcot(Uzhavar Sandhai ),Tamil Nadu,44,44,5354.55,5307.01,100.0,0.02
Ariyalur(Uzhavar Sandhai),Tamil Nadu,25,25,5608.0,2921.46,836.0,0.16
Armori,Maharashtra,1,1,2500.0,,300.0,0.12
Aron,Madhya Pradesh,1,1,2745.0,,0.0,0.0
Aroor,Kerala,7,7,4471.43,1349.96,200.0,0.05
Aruppukottai(Uzhavar Sandhai ),Tamil Nadu,39,39,5497.44,3520.8,707.69,0.15
Asansol,West Bengal,14,13,6327.14,3770.14,387.86,0.07
Ashahipora (Anantnagh),Jammu and Kashmir,13,12,4523.08,2635.86,400.0,0.09
Ashoknagar,Madhya Pradesh,8,6,4344.25,2069.29,830.12,0.16
Ashta,Madhya Pradesh,3,3,3969.33,1290.65,252.33,0.08
Atarra,Uttar Pradesh,11,11,3426.82,1985.92,160.45,0.06
Athirampuzha,Kerala,31,29,5554.84,5259.96,280.65,0.06
Athur(Uzhavar Sandhai ),Tamil Nadu,53,53,7550.94,10003.67,1332.08,0.19
Atrauli,Uttar Pradesh,10,10,1815.0,555.8,110.0,0.07
Atru,Rajasthan,5,5,5104.6,1644.58,959.0,0.17
Attabira,Odisha,16,16,3343.75,1687.98,512.5,0.16
Attayampatti(Uzhavar Sandhai ),Tamil Nadu,35,35,4200.0,1899.23,314.29,0.08
Auraiya,Uttar Pradesh,21,21,5281.43,4250.29,252.38,0.07
Avallapalli(Uzhavar Sandhai ),Tamil Nadu,40,40,5907.5,6195.01,775.0,0.15
Awagarh,Uttar Pradesh,8,8,1900.0,843.46,393.75,0.22
Azadpur,NCT of Delhi,5,2,6193.4,955.86,5520.0,0.9
Azamgarh,Uttar Pradesh,33,33,5268.64,3853.31,131.36,0.04
Babra,Gujarat,4,4,12400.0,8120.72,1971.25,0.22
Babrala,Uttar Pradesh,3,3,1783.33,1149.84,20.0,0.02
Bachranwa,Uttar Pradesh,7,7,2982.14,633.07,83.57,0.03
Badamalhera,Madhya Pradesh,1,1,6850.0,,50.0,0.01
Badayoun,Uttar Pradesh,23,23,3617.39,2991.57,151.74,0.05
Badepalli,Telangana,3,3,3143.0,2248.29,328.33,0.21
Badnagar,Madhya Pradesh,4,4,3710.0,2193.38,715.5,0.46
Badnawar,Madhya Pradesh,5,4,6432.0,6016.32,5417.0,0.55
Badwaha,Madhya Pradesh,3,3,4078.33,1687.57,1621.67,0.39
Badwani(F&V),Madhya Pradesh,10,10,1180.0,274.06,0.0,0.0
Bagasara,Gujarat,7,7,5099.14,3355.83,1041.43,0.24
Bagepalli,Karnataka,7,7,2094.57,679.07,1092.29,0.59
Bahadajholla,Odisha,4,4,2602.5,494.38,152.0,0.06
Bahadurganj,Bihar,3,3,4766.67,2596.79,400.0,0.09
Bahedi,Uttar Pradesh,6,6,2486.67,1311.82,62.5,0.04
Baikunthpur,Madhya Pradesh,1,1,2600.0,,50.0,0.02
Balarampur,West Bengal,9,9,5666.67,4445.78,422.22,0.1
Ballia,Uttar Pradesh,22,22,4636.14,3375.4,63.86,0.02
Balotra,Rajasthan,3,3,3650.0,1169.4,116.67,0.04
Balugaon,Odisha,12,10,9516.67,8520.01,825.0,0.12
Balurghat,West Bengal,10,10,3860.0,2270.68,210.0,0.07
Bamora,Madhya Pradesh,1,1,4450.0,,90.0,0.02
Banapura,Madhya Pradesh,2,2,5297.0,3467.65,356.0,0.06
Banda,Uttar Pradesh,18,18,3291.39,1854.35,123.61,0.05
Bandrol,Himachal Pradesh,7,7,5714.29,4617.51,4300.0,0.84
Bangarmau,Uttar Pradesh,20,20,4061.5,3194.02,107.5,0.04
Bankura Sadar,West Bengal,8,8,4116.25,2535.85,451.25,0.1
Banur,Punjab,18,18,3389.33,1613.65,2227.22,0.59
Barabanki,Uttar Pradesh,22,22,4056.36,3091.97,107.27,0.04
Barahat,Bihar,1,1,5800.0,,500.0,0.09
Baramkela,Chattisgarh,1,1,2050.0,,10.0,0.0
Baran,Rajasthan,12,12,6442.5,5376.12,1488.25,0.17
Barasat,West Bengal,7,7,4945.71,2258.6,0.0,0.0
Baraut,Uttar Pradesh,28,28,4685.89,3676.24,196.25,0.05
Barbigha,Bihar,1,1,2700.0,,200.0,0.07
Bardoli(Katod),Gujarat,2,2,3625.0,176.78,625.0,0.17
Bareilly,Uttar Pradesh,10,10,5281.7,4274.28,155.0,0.03
Bareli,Madhya Pradesh,1,1,2500.0,,50.0,0.02
Bargarh,Odisha,5,5,3880.0,903.88,200.0,0.05
Bargarh(Barapalli),Odisha,5,5,3460.0,952.89,200.0,0.06
Barghat,Madhya Pradesh,1,1,2200.0,,10.0,0.0
Bariwala,Punjab,1,1,4000.0,,0.0,0.0
Barpathari,Tripura,14,14,7728.57,4352.44,321.43,0.04
Barpeta Road,Assam,12,12,2786.17,1567.18,825.01,0.24
Baruipur(Canning),West Bengal,9,8,5261.11,2486.94,366.67,0.07
Baruwasagar,Uttar Pradesh,2,2,2900.0,1838.48,350.0,0.12
Basti,Uttar Pradesh,19,19,4393.42,3247.82,181.58,0.05
Batote,Jammu and Kashmir,12,12,4183.33,3359.88,533.33,0.13
Bavla,Gujarat,2,1,2875.0,106.07,105.0,0.04
Baxirhat,West Bengal,5,5,3900.0,2697.45,174.0,0.05
Bazpur,Uttrakhand,2,2,6369.5,4285.77,578.0,0.17
Bededonger,Chattisgarh,1,1,1800.0,,0.0,0.0
Begu,Rajasthan,1,1,2560.0,,190.0,0.07
Belacoba,West Bengal,12,8,4641.67,3313.25,200.0,0.06
Belarbahara,Chattisgarh,1,1,1900.0,,0.0,0.0
Belargaon,Chattisgarh,1,1,1900.0,,0.0,0.0
Beldanga,West Bengal,4,4,4250.0,1483.8,100.0,0.03
Beohari,Madhya Pradesh,2,2,2450.0,212.13,37.5,0.01
Berasia,Madhya Pradesh,4,2,3532.0,943.11,610.25,0.14
Betnoti,Odisha,6,6,2283.33,1000.83,400.0,0.23
Bewar,Uttar Pradesh,6,6,5270.83,6765.14,891.67,0.12
