state,avg_composite_risk,n_commodities,n_markets,avg_modal_price,state_rank
Goa,0.3961,2,1,15934.1667,1
Bihar,0.3305,4,15,4146.1905,2
Assam,0.3075,14,13,3800.9643,3
Kerala,0.2912,84,89,6646.3892,4
Punjab,0.2891,55,56,3662.4904,5
Himachal Pradesh,0.2857,43,20,5632.5843,6
Tripura,0.2854,23,10,7769.5402,7
NCT of Delhi,0.28,15,2,4642.6111,8
Odisha,0.2785,31,39,4522.0143,9
Jammu and Kashmir,0.2784,41,9,4868.3439,10
Andaman and Nicobar,0.2764,12,1,91.25,11
Haryana,0.2761,54,37,3501.264,12
Nagaland,0.272,16,4,6133.3333,13
Meghalaya,0.2712,12,2,5291.6667,14
Uttrakhand,0.267,26,11,2243.9403,15
Tamil Nadu,0.2598,80,181,5702.4528,16
West Bengal,0.2415,44,47,5060.9223,17
Uttar Pradesh,0.2378,70,165,4226.1634,18
Maharashtra,0.2214,75,65,4151.1315,19
Telangana,0.2139,65,53,3870.6818,20
Karnataka,0.2098,73,30,4597.7418,21
Andhra Pradesh,0.19,17,16,4462.9333,22
Rajasthan,0.1801,62,36,4752.3219,23
Gujarat,0.1747,90,116,5385.3759,24
Chattisgarh,0.1653,32,33,3059.5846,25
Madhya Pradesh,0.1598,41,147,4556.6828,26
Pondicherry,0.0901,3,2,2561.25,27
