state,count,num_markets,num_commodities,mean_modal_price,std_modal_price,mean_price_range,mean_price_spread_ratio
Andaman and Nicobar,12,1,12,91.25,89.5,38.33,0.43
Andhra Pradesh,30,16,17,4462.93,2768.02,1011.07,0.25
Assam,111,13,14,3800.96,2702.32,503.61,0.14
Bihar,21,15,4,4146.19,1409.4,240.0,0.06
Chattisgarh,65,33,32,3059.58,2123.01,160.74,0.05
Goa,6,1,2,15934.17,16489.81,145.0,0.16
Gujarat,818,116,90,5385.38,4441.87,1293.35,0.27
Haryana,428,37,54,3501.26,2712.62,1003.08,0.28
Himachal Pradesh,356,20,43,5632.58,4551.38,1426.12,0.28
Jammu and Kashmir,142,9,41,4868.34,3663.8,687.65,0.14
Karnataka,213,30,73,4597.74,6643.72,1207.97,0.31
Kerala,1426,89,84,6646.39,11579.0,668.49,0.15
Madhya Pradesh,435,147,41,4556.68,3765.2,1042.74,0.18
Maharashtra,441,65,75,4151.13,3429.32,1581.32,0.39
Meghalaya,12,2,12,5291.67,4502.01,1433.33,0.22
NCT of Delhi,18,2,15,4642.61,3027.0,3255.56,0.67
Nagaland,24,4,16,6133.33,5203.32,712.5,0.15
Odisha,210,39,31,4522.01,3764.53,681.13,0.14
Pondicherry,8,2,3,2561.25,1130.67,868.75,0.19
Punjab,575,56,55,3662.49,3295.51,967.05,0.28
Rajasthan,233,36,62,4752.32,3660.88,1161.82,0.23
Tamil Nadu,6404,181,80,5702.45,5442.5,758.7,0.13
Telangana,220,53,65,3870.68,2998.2,1027.14,0.31
Tripura,87,10,23,7769.54,6065.14,738.03,0.1
Uttar Pradesh,2475,165,70,4226.16,3488.52,169.05,0.06
Uttrakhand,67,11,26,2243.94,1488.92,391.96,0.2
West Bengal,386,47,44,5060.92,3461.53,353.41,0.08
